"Chrome","IE","Firefox","Safari","Opera"
79.7,4,10,3.4,1.6
79.5,4,10.2,3.3,1.6
79.6,3.8,10.1,3.4,1.7
79.1,4.1,10.2,3.8,1.6
79.6,4,10.1,3.5,1.5
79.6,3.9,10.3,3.3,1.5
79.9,3.7,10.6,3,1.5
80.1,3.5,10.8,2.7,1.5
79.4,3.8,10.9,3,1.6
79,3.9,10.9,3.2,1.6
78.6,3.9,11.2,3.3,1.5
78.1,4,11.5,3.3,1.6
77.9,4.1,11.8,3.3,1.5
77.2,4.1,12.4,3.2,1.6
77,3.9,12.4,3.3,1.6
76.8,4.3,12.5,3.3,1.6
76.1,4.1,12.1,3.3,1.2
76.5,4.2,12.8,3.2,1.2
76.9,4.3,13.1,3,1.2
76.7,4.2,13.3,3,1.2
76.3,4.6,13.3,3.3,1.2
75.8,4.6,13.6,3.4,1.1
75.7,4.6,13.6,3.7,1.1
75.1,4.8,14.1,3.6,1
74.1,4.8,15,3.6,1
73.7,4.9,15.4,3.6,1
73.7,4.8,15.5,3.5,1.1
73.8,5.2,15.3,3.5,1.1
73,5.2,15.7,3.6,1.1
72.5,5.3,16.3,3.5,1
72.4,5.2,16.8,3.2,1.1
71.9,5.2,17.1,3.2,1.1
71.7,5.6,17,3.3,1.1
71.4,5.7,16.9,3.6,1.2
70.4,5.8,17.5,3.7,1.3
69.9,6.1,17.8,3.6,1.3
69,6.2,18.6,3.7,1.3
68.4,6.2,18.8,3.7,1.4
68,6.3,19.1,3.7,1.5
67.4,6.8,19.2,3.9,1.5
66.5,6.9,20,3.8,1.4
65.9,7.2,20.6,3.6,1.4
64,6.6,21.2,4.5,2.2
63.3,6.5,21.6,4.9,2.5
64.8,7.1,21.3,3.8,1.8
64.9,7.1,21.5,3.8,1.6
63.9,8,21.6,3.8,1.5
63.7,7.7,22.1,3.9,1.5
62.5,8,22.9,3.9,1.5
61.9,7.8,23.4,3.8,1.6
61.6,8,23.6,3.7,1.6
60.1,9.8,23.4,3.7,1.6
60.4,9.5,23.4,3.9,1.6
59.6,9.9,24,3.6,1.6
60.1,8.3,24.7,3.7,1.8
59.8,8.5,24.9,3.5,1.7
59.3,8.8,25.1,3.7,1.8
59.2,8.9,24.9,3.8,1.8
58.4,9.4,25,4,1.8
57.5,9.7,25.6,3.9,1.8
56.4,9.8,26.4,4,1.9
55.7,10.2,26.9,3.9,1.8
55.8,9,26.8,3.8,1.9
54.8,10.5,26.8,4,1.8
54.1,11.7,27.2,3.8,1.7
53.2,12.1,27.8,3.9,1.7
52.9,11.8,28.2,3.9,1.8
52.8,11.8,28.9,3.6,1.6
52.1,12,28.9,3.9,1.7
52.9,12.6,27.7,4,1.6
52.7,12.7,27.9,4,1.7
51.7,13,28.5,4.1,1.8
50,13.5,29.6,4.1,1.8
48.4,14.3,30.2,4.2,1.9
46.9,14.7,31.1,4.2,2.1
46.3,15.1,31.2,4.4,2
44.9,16.1,31.8,4.3,2
44.1,16.4,32.2,4.2,2.1
43.7,16.2,32.8,4,2.2
42.9,16.3,33.7,3.9,2.1
41.7,16.7,34.4,4.1,2.2
39.3,18.1,35.2,4.3,2.2
38.3,18.3,35.8,4.5,2.3
37.3,18.9,36.3,4.4,2.3
36.3,19.5,37.1,4.5,2.3
35.3,20.1,37.2,4.3,2.4
34.6,20.2,37.7,4.2,2.5
33.4,21.2,38.1,4.2,2.4
32.3,21.7,38.7,4.2,2.4
30.5,22.9,39.7,4,2.2
30.3,22.4,40.6,3.8,2.3
29.4,22,42,3.6,2.4
27.9,23.2,42.2,3.7,2.4
25.9,24.9,42.4,4,2.4
25.6,24.3,42.9,4.1,2.6
25,25.8,42.2,4,2.5
24.1,26.5,42.4,4.1,2.5
23.8,26.6,42.8,4,2.5
22.4,27.5,43.5,3.8,2.2
20.5,28.6,44,4,2.3
19.2,29.7,44.1,3.9,2.2
17.3,31.1,45.1,3.7,2.2
17,30.7,45.8,3.5,2.3
16.7,30.4,46.4,3.4,2.3
15.9,31,46.6,3.6,2.1
14.5,32.2,46.9,3.5,2.2
13.6,33.4,46.4,3.7,2.2
12.3,34.9,46.2,3.7,2.2
11.6,35.3,46.5,3.8,2.1
10.8,36.2,46.3,3.7,2.2
9.8,37.2,46.4,3.6,2.3
8.5,37.7,47,3.8,2.3
8,37.5,47.5,3.8,2.3
7.1,39.6,46.6,3.6,2.2
7,39.3,47.4,3.3,2.1
6.5,39.4,47.9,3.3,2.1
6,40.7,47.3,3.1,2.1
5.5,41,47.7,3,2.2
4.9,42.1,47.1,3,2.2
4.2,43.3,46.5,3.1,2.3
4,43.6,46.4,3,2.2
3.9,44.8,45.5,3,2.3
3.6,46,44.4,2.7,2.4
3.1,47,44.2,2.7,2.3
3,47.4,44,2.8,2.2
3.1,49,42.6,2.7,2
0,51,43.7,2.6,2.1
0,52.4,42.6,2.5,1.9
0,54.2,41,2.6,1.7
0,54.4,39.8,2.4,1.5
0,54.8,39.1,2.2,1.4
0,53.9,37,2.1,1.4
0,54.7,36.5,2,1.4
0,54.7,36.4,1.9,1.4
